GEOID20,district
12083000109,22
12133000012,23
12013000201,24
12099000678,25
1201100S007,26
12009000217,0
12033000055,1
12019021000,2
12053000024,3
12057000709,4
12133000004,5
12005000044,6
12069000120,7
12031000232,8
12041000004,9
12023000001,10
12031000041,11
12115000027,12
12101000016,13
12031000247,14
12117000070,15
12117000073,15
12033000043,16
12071000067,17
12071000002,17
12107000026,18
12109000028,19
12055000006,20
12069000084,21
12083000102,22
12133000009,23
12063000026,24
12099000675,25
1201100V053,26
12009000203,0
12033000056,1
12019040601,2
12069000089,3
12101000006,4
12133000003,5
12005000029,6
12069000118,7
12019020200,8
12041000005,9
12023000019,10
12031000038,11
12115000092,12
12101000089,13
12031000251,14
12127000080,15
12033000036,16
12071000005,17
12107000027,18
12109000031,19
12105000414,20
12069000014,21
120170200.2,22
12063000003,23
12063000022,24
12099000667,25
1201100V047,26
12009000124,0
12033000057,1
12109000068,2
12053000026,3
12057000750,4
12131000340,5
12005000038,6
12069000008,7
12019050600,8
12041000006,9
12121000011,10
12031000053,11
12115000096,12
12101000103,13
12031000246,14
12009000104,15
12033000033,16
12071000001,17
12083000029,18
12109000029,19
12105000540,20
12069000016,21
12083000101,22
12063000017,23
12063000011,24
12099000671,25
1201100R061,26
12009000118,0
12033000062,1
12031000101,2
12053000001,3
12105000309,4
12133000025,5
12005000007,6
12069000054,7
12031000227,8
12067000004,9
12121000010,10
12031000264,11
12115000064,12
12101000066,13
12031000260,14
12009000106,15
12033000238,16
12071000068,17
12083000030,18
12109000046,19
12027000010,20
12069000011,21
12083000018,22
12063000004,23
12045000003,24
12099000670,25
1201100Z004,26
12009000125,0
12033000002,1
12031000113,2
12105000102,3
12105000117,4
12133000023,5
12133000019,6
12095000238,7
12019050601,8
12067000003,9
12121000012,10
12031000050,11
12115000079,12
12101000205,13
12031000249,14
12009000103,15
12033000237,16
12071000045,17
12083000032,18
12109000034,19
12015000045,20
12069000121,21
12083000111,22
1213300007A,23
12045000002,24
12099000664,25
1201100R049,26
12009000116,0
12033000064,1
12109000053,2
12105000108,3
12057000892,4
12133000018,5
12005000034,6
12095000236,7
12019060401,8
12121000006,9
12023000004,10
12031000037,11
12115000037,12
12101101008,13
12031000225,14
12009000105,15
12033000027,16
12071000065,17
12083000031,18
12109000085,19
12027000013,20
12069000093,21
12083000074,22
1213300009D,23
12037000001,24
12099000643,25
1201100R042,26
12009000114,0
12033000065,1
12109000057,2
12053000038,3
12105000115,4
12133000020,5
12045000010,6
12117000007,7
12019060601,8
12121000009,9
12023000022,10
12031000032,11
12115000078,12
12053000048,13
12031000217,14
12009000109,15
12033000025,16
12071000115,17
12083000027,18
12109000047,19
12015000015,20
12069330033,21
12083000021,22
1213300004D,23
12037000005,24
12099000676,25
1201100V058,26
12009000113,0
12033000059,1
12109000067,2
12053000022,3
12057000764,4
1213300004E,5
12045000004,6
12117000002,7
12019060200,8
12079000003,9
12023000021,10
12031000049,11
12115000095,12
12101000043,13
12031000250,14
12127000221,15
12033000024,16
12071000039,17
12083000084,18
12107000008,19
12015000106,20
12069000055,21
12083000073,22
12133000005,23
12013000101,24
12099000641,25
1201100R040,26
12009000112,0
12033000068,1
12031000099,2
12069000039,3
12057000759,4
12133000014,5
12045000011,6
12095000234,7
12019011203,8
12121000003,9
12121000016,10
12031000040,11
12015000098,12
12053000015,13
12089020100,14
12127000217,15
12033000021,16
12071000038,17
12083000051,18
12109000016,19
12015000070,20
12069000092,21
12083000064,22
12133000013,23
12077000003,24
12099000655,25
1201100R038,26
12009000100,0
12033000073,1
12031000112,2
12053000029,3
12105000113,4
12133000001,5
12005000030,6
12117000018,7
12019020400,8
12121000004,9
12121000002,10
12031000031,11
12115000101,12
12101000067,13
12031000226,14
12127000218,15
12033000026,16
12071000064,17
12083000060,18
12107000003,19
12105000524,20
12069000035,21
12083000062,22
12063000020,23
12077000004,24
12099000658,25
1201100R039,26
12095000545,0
12033000069,1
12031000106,2
12069000113,3
12057000751,4
1213300005B,5
12045000007,6
12117000012,7
1201960100a,8
12047000008,9
12023000005,10
12031000020,11
12015000006,12
12057000591,13
12031000253,14
12127000219,15
12033000038,16
12071000060,17
12107000025,18
12109000024,19
12105000507,20
12069000064,21
12083000071,22
1213300009C,23
12005000024,24
12099000656,25
1201100R037,26
12009000115,0
12033000070,1
12019040801,2
12069000062,3
12101000031,4
12133000007,5
12045000009,6
12095000235,7
12019060400,8
12121000005,9
12121000015,10
12031000052,11
12015000067,12
12057000595,13
12031000206,14
12127000212,15
12033000236,16
12071000125,17
12107000024,18
12109000037,19
12105000247,20
12069000072,21
12083000063,22
12133000027,23
12013000202,24
12099000663,25
1201100R036,26
12009000122,0
12033000003,1
12019041002,2
12053000054,3
12057000707,4
12133000017,5
12005000036,6
12069000018,7
12031000239,8
12029000006,9
12001000065,10
12031000024,11
12015000127,12
12101101070,13
12031000254,14
12117000069,15
12033000046,16
12071000025,17
12107000016,18
12127000005,19
12105000248,20
12069000066,21
12083000076,22
12133000026,23
12037000008,24
12099000660,25
1201100R055,26
12009000123,0
12033000007,1
12031000097,2
12069000070,3
12105000244,4
12133000024,5
12045000001,6
12117000021,7
12019011200,8
12041000009,9
12023000023,10
12031000035,11
12015000072,12
12101000166,13
12089010200,14
12127000205,15
12033000037,16
12021000118,17
12019070800,18
12109000048,19
12105000243,20
12069000125,21
12083000078,22
12063000028,23
12045000006,24
12099000672,25
12011000024,26
12009000206,0
12033000006,1
12031000107,2
12101000005,3
12105000245,4
12091000020,5
12045000008,6
12069000236,7
12031000228,8
12121000008,9
12001000008,10
12031000022,11
12015000108,12
12101000062,13
12031000214,14
12127000203,15
12033000050,16
12021000117,17
12019070600,18
12127000119,19
12105000237,20
12069000117,21
12083000014,22
12063000007,23
12013000302,24
12099000659,25
1201100R044,26
12009000235,0
12033000011,1
12031000096,2
12069000112,3
12057000706,4
12045000005,6
12069000095,7
12019070000,8
12075000010,9
12023000003,10
12031000034,11
12015000041,12
12101000042,13
12031000252,14
12127000198,15
12033000032,16
12021000120,17
12019070400,18
12127000118,19
12105000239,20
12069000119,21
12083000016,22
12063000031,23
12063000014,24
12099000674,25
1201100R015,26
12009000201,0
12033000013,1
12031000110,2
12069000040,3
12105000208,4
12061000028,5
12061000032,5
12005000033,6
12069000009,7
12019070200,8
12067000001,9
12001000069,10
12031000007,11
12015000062,12
12101000037,13
12031000263,14
12127000182,15
12033000034,16
12021000116,17
12007000014,18
12127000107,19
12105000249,20
12069000007,21
12083000015,22
12063000016,23
12005000019,24
12099000669,25
1201100R013,26
12009000135,0
12033000004,1
12019020801,2
12101000012,3
12105000106,4
12111000001,5
12005000032,6
12069000061,7
12019070201,8
12123000007,9
12041000010,10
12031000054,11
12015000094,12
12101000097,13
12089020403,14
12127000199,15
12033000022,16
12071000301,17
12107000022,18
12127000101,19
12105000241,20
12127000072,21
12083000005,22
12063000013,23
12013000501,24
12099000677,25
1201100Q030,26
12009000121,0
12033000001,1
12031000100,2
12101000193,3
12101000140,4
12061000034,5
12069000094,7
12007000013,8
12123000014,9
12041000001,10
12031000055,11
12015000008,12
12101000170,13
12089030101,14
12127000196,15
12033000107,16
12021000115,17
12107000018,18
12127000147,19
12105000236,20
12127000076,21
12083000066,22
12063000025,23
12013000102,24
12099000654,25
1201100Q031,26
12009000202,0
12033000066,1
12031000088,2
12101000106,3
12057000703,4
12061000031,5
12129000002,6
12129000007,6
120170202.2,7
12007000015,8
12123000002,9
12041000007,10
12031000043,11
12115000075,12
12057000531,13
12089020402,14
12127000176,15
12033000104,16
12021000066,17
12127000017,18
12127000104,19
12105000240,20
12127000073,21
12083000069,22
12063000002,23
12005000003,24
12099000652,25
1201100R001,26
12095000543,0
12033000058,1
12031000081,2
12069000071,3
12057000154,4
12061000018,5
