GEOID20,district
12089040101,25
12113000036,5
12071000068,6
12071000119,4
12086000352,14
12071000043,20
12121000004,13
12069002000,15
12019060401,22
12057000769,21
12119000110,23
12105000241,26
12053000009,25
120170201.1,18
12033000248,7
12109000038,2
12075000002,5
12105000418,8
12127000199,17
12063000027,3
12127000076,11
12053000028,13
12086000328,16
12081000167,4
12021000131,10
12086000318,12
12071000094,20
12021000021,15
12105000110,10
12113000029,21
12085000050,22
12009000114,14
12091000058,19
12091000014,23
12089020200,25
12005000026,7
12005000027,2
12119000127,15
12127000073,4
12031000221,26
12107000011,8
12101000025,5
12063000022,18
120170406.1,6
12086000320,3
12009000125,24
12041000004,19
12119000108,20
12061000008,11
12105000518,21
12071000093,16
12069000012,26
12127000198,7
12035300000,17
12023000019,25
12009000512,12
12071000036,9
12015000062,15
12119000125,19
12111000028,2
12053000002,10
12101000103,6
12021000060,8
12053000030,13
12091000023,22
12015000108,5
12101000194,20
12071000045,26
12059000004,18
12091000060,25
12111000001,4
12009000217,14
12086000377,21
12021000066,24
12021000023,10
12083000021,2
12127000177,17
12053000047,12
12127000080,8
12009000109,16
12057000765,19
12015000067,3
12105000239,13
12041000008,18
120170400.1,15
12031000281,11
12053000044,5
12113000042,23
12113000013,10
12071000124,25
12033000265,22
12071000086,20
12005000016,26
12071000029,7
12101000089,14
12033000053,18
12113000015,19
12083000028,11
12115000025,8
12107000027,15
12069000004,10
12071000044,22
12115000049,12
12053000018,26
12069000220,13
12009000421,2
12037000001,3
12023000001,11
12086000389,18
12105000542,21
12103000180,15
12057000891,17
12119000109,4
12131000130,10
12009000304,23
12091000082,6
12057000591,12
12107000024,24
12089050302,25
12019070800,16
12109000013,3
12111000015,20
12083000096,26
12035000270,9
12083000029,11
12055000016,25
12101000157,19
12063000006,13
12113000011,10
12109000050,7
12083000047,4
12071000035,2
12023000008,8
12127000217,22
12121000011,6
12053000023,14
12009000409,17
12089050100,21
12045000006,16
12123000007,13
12071000027,5
12021000051,10
12105000249,24
12103000222,18
12071000075,12
12033000202,11
12061000034,15
12061000031,8
12071000104,16
12057000721,13
120170204.1,6
12083000032,3
120170107.1,20
12086000337,23
12105000236,9
12031000104,26
12035000291,5
12071000103,21
12101101008,2
12101000019,7
12057000709,11
12127000197,19
12101000006,6
12057000750,18
12069000023,22
12101000042,25
12035000231,24
12091000035,10
12031000220,5
12031000056,3
12119000123,8
12069000017,26
12083000052,20
12127000196,15
12115000073,4
12019011201,17
12086000379,12
12113000039,16
12121000010,26
12129000001,22
12091000071,10
12057000528,14
12101000015,9
12019070400,6
12091000008,23
12071000097,13
12083000059,5
12127000218,20
12086000773,11
12086000412,18
12071000098,8
12125000004,15
12019041400,19
1205500015S,16
12086000340,26
12113000041,24
12127000221,21
12031000019,16
12127000074,6
12041000005,3
12105000244,23
12105000321,14
12055000019,2
12071000105,4
12113000037,15
12023000015,5
12127000009,17
12105000333,9
12009000427,16
12013000301,12
12081000243,21
12086000415,18
12049000009,19
12057000706,3
12083000075,11
12131000540,8
12103000364,12
12103000302,20
12071000065,21
12021000050,13
12109000029,22
12005000025,24
12105000309,15
12091000050,3
12131000320,25
12015000098,7
120170407.1,10
12021000081,19
12055000003,6
12083000031,14
12089010201,2
12086000420,8
12127000204,11
12023000021,24
12057000813,16
12083000036,17
12121000016,9
12105000117,3
12105000336,12
12061000018,5
12019050000,19
12095000129,6
12021000068,25
12061000027,23
12086000388,10
12053000033,4
12081000018,21
12071000039,14
12101000004,13
12086000321,18
12021000004,7
12061000022,9
12086000339,26
12115000027,20
12019012200,8
12057000892,22
12091000004,15
12009000507,5
12101000199,11
12069000116,17
120170200.1,12
12109000041,24
12091000051,6
12071000038,25
12101100111,16
12085000055,2
12021000114,15
12033000242,22
120170103.1,19
12115000092,14
12127000219,17
12125000006,4
12111000016,23
12119000107,7
12086000706,21
12115000070,9
12086000363,6
12091000036,12
12021000007,3
12031000058,24
12091000069,10
12053000042,8
12041000006,13
12083000065,20
12009000405,22
12121000009,11
12083000077,18
12123000014,4
12121000006,19
12009000406,2
12097000520,7
12086000311,13
12071000118,15
12071000072,26
12083000035,9
12109000008,11
12091000027,16
12121000002,4
12086000708,3
12083000086,20
12019030800,5
12101000073,10
12021000089,19
12127000147,12
1201100B004,14
12053000040,23
12071000060,25
12105000115,17
1209300P-06,21
12091000032,8
12081000190,18
12091000049,12
12019021000,20
12127000104,22
12057000764,14
12085000063,9
12009000203,24
12033000045,19
12083000027,26
120170104.1,16
12113000010,5
12033000245,15
12101000201,4
12086000310,3
12059000002,25
12119000121,12
12069000120,19
12049000007,8
12009000201,21
12127000118,25
12009000309,11
12111000042,17
12086000733,2
12015000094,5
12127000037,26
12129000006,18
