GEOID20,district
12115000042,15
12115000069,15
12115000065,15
12115000005,15
12115000009,15
12115000107,15
12115000046,15
12115000007,15
12115000016,15
12115000054,15
12115000080,15
12115000001,15
12115000003,15
12115000014,15
12115000039,15
12115000010,15
12115000108,15
12115000077,15
12115000048,15
12115000109,15
12115000076,15
12115000084,15
12115000018,15
12115000025,15
12115000087,15
12115000082,15
12115000055,15
12115000028,15
12115000075,15
12115000092,15
12115000041,15
12115000073,15
12115000011,15
12115000095,15
12115000096,15
12115000093,15
12115000106,15
12115000029,15
12115000013,15
12115000026,15
12115000085,15
12115000023,15
12115000086,15
12115000088,15
12115000099,15
12115000103,15
12115000074,15
12115000020,15
12115000022,15
12115000104,15
12115000056,15
12115000043,15
12115000006,15
12115000105,15
12115000032,15
12115000030,15
12115000110,15
12115000024,15
12115000004,15
12115000031,15
12115000100,15
12115000012,15
12115000058,15
12115000060,15
12115000061,15
12115000052,15
12115000097,15
12115000049,15
12115000078,15
12115000033,15
12115000062,15
12115000094,15
12115000067,15
12115000035,15
12115000090,15
12115000079,15
12115000064,15
12115000038,15
12115000037,15
12115000063,15
12115000034,15
12115000027,15
12115000101,15
12115000045,15
12115000102,15
12115000089,15
12115000047,15
12115000091,15
12115000051,15
12115000050,15
12115000008,15
12115000017,15
12115000081,15
12115000040,15
12115000098,15
12115000002,15
12115000066,15
12115000070,15
12115000019,15
12115000044,15
12115000036,15
12115000059,15
12115000053,15
12115000083,15
12115000057,15
12115000071,15
12115000068,15
12115000015,15
12115000021,15
12005000022,5
12005000020,5
12005000006,5
12005000004,5
12005000021,5
12005000002,5
12005000016,5
12005000018,5
12005000023,5
12005000019,5
12005000042,5
12005000044,5
12005000017,5
12005000025,5
12005000039,5
12005000027,5
12005000040,5
12005000037,5
12005000031,5
12005000024,5
12005000033,5
12005000041,5
12005000003,5
12005000001,5
12005000028,5
12005000032,5
12005000010,5
12005000011,5
12005000015,5
12005000009,5
12005000014,5
12005000008,5
12005000036,5
12005000043,5
12005000038,5
12005000012,5
12005000030,5
12005000029,5
12005000026,5
12005000034,5
12005000013,5
12005000007,5
12005000005,5
12005000035,5
12045000010,5
12045000004,5
12045000005,5
12045000007,5
12045000009,5
12045000002,5
12045000006,5
12045000008,5
12045000001,5
12045000003,5
12109000006,6
12109000009,6
12109000007,6
12109000008,6
12109000003,6
12109000001,6
12109000026,6
12109000027,6
12109000024,6
12109000032,6
12109000034,6
12109000025,6
12109000022,6
12109000031,6
12109000033,6
