PCT_STD,POPULATION
DAD0344,866
DAD0345,0
DAD0345.1,2
DAD0346,965
DAD0347,523
DAD0348,337
DAD0349,2406
DAD0350,427
DAD0351,1416
DAD0352,1012
DAD0353,606
DAD0354,411
DAD0355,1543
DAD0356,956
DAD0357,467
DAD0358,615
DAD0359,1134
DAD0360,1535
DAD0362,426
DAD0363,3094
DAD0364,1130
DAD0365,736
DAD0366,683
DAD0367,369
DAD0368,1287
DAD0369,26
DAD0370,4686
DAD0371,1109
DAD0372,99
DAD0373,0
DAD0374,4
DAD0375,159
DAD0376,955
DAD0377,1935
DAD0378,418
DAD0379,1250
DAD0381,913
DAD0382,801
DAD0383,0
DAD0384,626
DAD0385,900
DAD0386,1970
DAD0387,468
DAD0388,1666
DAD0389,887
DAD0390,1137
DAD0392,0
DAD0394,0
DAD0396,237
DAD0398,217
DAD0399,223
DAD0400,1
DAD0402,641
DAD0405,337
DAD0406,452
DAD0407,394
DAD0409,662
DAD0410,683
DAD0411,203
DAD0411.1,172
DAD0412,769
DAD0413,940
DAD0413.1,42
DAD0414,359
DAD0415,1337
DAD0416,677
DAD0417,488
DAD0418,213
DAD0419,335
DAD0420,807
DAD0421,608
DAD0422,234
DAD0423,749
DAD0424,715
DAD0424.1,124
DAD0425,269
DAD0426,1555
DAD0427,393
DAD0428,781
DAD0429,578
DAD0430,299
DAD0430.1,323
DAD0431,485
DAD0431.1,109
DAD0432,806
DAD0433,610
DAD0434,354
DAD0434.1,164
DAD0435,1010
DAD0435.1,284
DAD0436,335
DAD0436.1,158
DAD0437,225
DAD0437.1,58
DAD0438,313
DAD0438.1,213
DAD0439,328
DAD0439.1,175
DAD0440,232
DAD0440.1,282
DAD0441,230
DAD0441.1,163
DAD0442,572
DAD0443,275
DAD0444,516
DAD0445,0
DAD0446,10
DAD0447,1833
DAD0448,176
DAD0449,78
DAD0450,409
DAD0451,772
DAD0452,1632
DAD0453,9
DAD0454,543
DAD0455,338
DAD0456,7
DAD0457,513
DAD0458,324
DAD0459,101
DAD0461,1096
DAD0462,5443
DAD0463,0
DAD0463.1,0
DAD0464,296
DAD0465,619
DAD0466,223
DAD0467,64
DAD0467.1,428
DAD0468,620
DAD0469,1497
DAD0470,732
DAD0471,384
DAD0472,362
DAD0482,0
DAD0487,4
DAD0488,1365
DAD0498,2178
DAD0500,615
DAD0501,904
DAD0502,1672
DAD0503,40
DAD0504,173
DAD0505,878
DAD0506,587
DAD0507,804
DAD0508,1082
DAD0509,629
DAD0510,437
DAD0511,827
DAD0512,753
DAD0514,973
DAD0515,1045
DAD0516,472
DAD0517,613
DAD0518,793
DAD0519,861
DAD0520,1083
DAD0521,1444
DAD0522,1296
DAD0523,583
DAD0524,423
DAD0526,35
DAD0528,790
DAD0529,1738
DAD0530,483
DAD0531,1922
DAD0532,52
DAD0533,935
DAD0533.1,1356
DAD0534,2119
DAD0534.1,446
DAD0535,961
DAD0536,1
DAD0536.1,356
DAD0537,3
DAD0538,2083
DAD0541,1935
DAD0542,0
DAD0543,3938
DAD0544,2943
DAD0545,2658
DAD0546,550
DAD0547,526
DAD0548,923
DAD0549,880
DAD0550,927
DAD0551,1096
DAD0552,611
DAD0553,886
DAD0554,871
DAD0556,2244
DAD0557,1182
DAD0558,573
DAD0559,475
DAD0560,815
DAD0561,1839
DAD0563,2058
DAD0564,2489
DAD0565,1610
DAD0566,2151
DAD0567,1186
DAD0570,949
DAD0571,79
DAD0572,574
DAD0573,897
DAD0574,1084
DAD0575,2262
DAD0576,1317
DAD0577,1958
DAD0578,572
DAD0579,1574
DAD0580,0
DAD0581,1695
DAD0582,1363
DAD0583,494
DAD0584,706
DAD0585,160
DAD0586,656
DAD0587,215
DAD0591,141
DAD0591.1,138
DAD0592,821
DAD0593,1981
DAD0594,369
DAD0595,310
DAD0596,1017
DAD0597,0
DAD0599,2256
DAD0601,527
DAD0602,247
DAD0603,126
DAD0604,1205
DAD0606,739
DAD0607,850
DAD0608,491
DAD0609,813
DAD0611,637
DAD0612,91
DAD0613,531
DAD0614,239
DAD0615,564
DAD0616,329
DAD0617,1098
DAD0618,14
DAD0621,1316
DAD0623,93
DAD0624,900
DAD0625,308
DAD0626,84
DAD0627,741
DAD0628,172
DAD0630,253
DAD0631,234
DAD0632,758
DAD0633,1256
DAD0634,31
DAD0635,18
DAD0636,1209
DAD0640,299
DAD0641,769
DAD0642,169
DAD0643,450
DAD0644,100
DAD0646,31
DAD0648,12
DAD0649,233
DAD0650,50
DAD0651,138
DAD0653,122
DAD0655,0
DAD0655.1,0
DAD0656,286
DAD0656.1,194
DAD0658.1,0
DAD0659,19
DAD0659.2,0
DAD0667,479
DAD0669,3021
DAD0670,1574
DAD0672,364
DAD0673,116
DAD0674,138
DAD0693,379
DAD0694,1293
DAD0695,1116
DAD0696,4202
DAD0697,592
DAD0699,580
DAD0700,308
DAD0701,796
DAD0702,658
DAD0703,1350
DAD0704,560
DAD0705,1212
DAD0706,955
DAD0707,231
DAD0708,1066
DAD0710,726
DAD0711,1205
DAD0712,615
DAD0713,1034
DAD0714,612
DAD0715,752
DAD0716,451
DAD0717,1044
DAD0718,681
DAD0719,660
DAD0719.1,0
DAD0720,894
DAD0721,3052
DAD0723,447
DAD0725,613
DAD0726,124
DAD0727,585
DAD0728,1464
DAD0729,341
DAD0730,1392
DAD0731,559
DAD0732,668
DAD0733,945
DAD0734,179
DAD0735,360
DAD0736,472
DAD0737,522
DAD0738,1045
DAD0739,407
DAD0740,541
DAD0741,932
DAD0742,1152
DAD0743,445
DAD0744,1026
DAD0745,584
DAD0746,757
DAD0748,505
DAD0749,438
DAD0750,781
DAD0751,359
DAD0752,1329
DAD0753,93
DAD0754,607
DAD0755,356
DAD0756,487
DAD0757,930
DAD0758,267
DAD0759,688
DAD0760,352
DAD0761,796
DAD0762,481
DAD0763,317
DAD0764,1530
DAD0765,206
DAD0766,971
DAD0767,742
DAD0768,282
DAD0769,293
DAD0770,271
DAD0771,347
DAD0772,521
DAD0773,634
DAD0774,23
DAD0775,686
DAD0776,1111
DAD0777,189
DAD0778,199
DAD0779,292
DAD0781,191
DAD0782,93
DAD0783,983
DAD0784,726
DAD0785,54
DAD0786,1119
DAD0787,50
DAD0788,877
DAD0789,2
DAD0790,0
DAD0791,236
DAD0792,606
DAD0793,601
DAD0794,764
DAD0796,6
DAD0797,691
DAD0798,1887
DAD0800,410
DAD0801,643
DAD0802,438
DAD0803,559
DAD0804,386
DAD0805,877
DAD0806,632
DAD0807,515
DAD0808,116
DAD0809,33
DAD0810,556
DAD0811,928
DAD0812,769
DAD0813,1141
DAD0814,1301
DAD0815,787
DAD0816,910
DAD0817,483
